City_Name,District_Name,Area_Name,Latitude,Longitude,Tourist_Place,Hidden_Place,Nearby_Hotel_Name,Hotel_Rating,Hotel_Address,Restaurant_Name,Restaurant_Rating,Restaurant_Address,Tiffin_Center_Name,Tiffin_Address,Lunch_Meals_Hotel,Lunch_Address,Accommodation_Details,Emergency_Service,Emergency_Address,Rating,Description,Final_Rating,Entry_Fee,Hotel
Maredumilli,Alluri Sitharama Raju,Old Phase 1,15.830275,79.745104,Old Phase 1 Historic Monument,Old Phase 1 Hidden Creek,The Old Phase 1 Inn,3.9,"Near Old Phase 1 Main Junction, Maredumilli",Old Phase 1 Flavours,4.7,"Opposite Maredumilli Lake Promenade, Old Phase 1, Maredumilli",Authentic Old Phase 1 Tiffin Centre,"Market Road, Old Phase 1, Maredumilli",Old Phase 1 Flavours,"Highway Bypass / Old Phase 1 Center, Maredumilli",The Old Phase 1 Inn / Similar Accommodations,Old Phase 1 Local Police Station,"Main Road, Old Phase 1, Maredumilli",4.0,,4.0,,
Maredumilli,Alluri Sitharama Raju,Maredumilli West Cross Roads,15.8467,79.678531,Maredumilli West Cross Roads Central Park,Maredumilli West Cross Roads Old Fort Ruins,The Maredumilli West Cross Roads Suites,3.9,"Near Maredumilli West Cross Roads Main Junction, Maredumilli",Maredumilli West Cross Roads Biryani House,4.5,"Opposite Maredumilli Botanical Garden, Maredumilli West Cross Roads, Maredumilli",Sri Maredumilli West Cross Roads Breakfast Corner,"Market Road, Maredumilli West Cross Roads, Maredumilli",Maredumilli West Cross Roads Biryani House,"Highway Bypass / Maredumilli West Cross Roads Center, Maredumilli",The Maredumilli West Cross Roads Suites / Similar Accommodations,Maredumilli West Cross Roads Government Hospital,"Main Road, Maredumilli West Cross Roads, Maredumilli",4.0,,4.0,,
Maredumilli,Alluri Sitharama Raju,Maredumilli South Veedhi,15.879458,79.699635,Maredumilli South Veedhi Heritage Temple,Maredumilli South Veedhi Ancient Stepwell,Grand Maredumilli South Veedhi Inn,4.7,"Near Maredumilli South Veedhi Main Junction, Maredumilli",Maredumilli South Veedhi Biryani House,4.4,"Opposite Maredumilli Botanical Garden, Maredumilli South Veedhi, Maredumilli",Authentic Maredumilli South Veedhi Tiffin Centre,"Market Road, Maredumilli South Veedhi, Maredumilli",Maredumilli South Veedhi Biryani House,"Highway Bypass / Maredumilli South Veedhi Center, Maredumilli",Grand Maredumilli South Veedhi Inn / Similar Accommodations,Maredumilli South Veedhi Primary Health Centre,"Main Road, Maredumilli South Veedhi, Maredumilli",4.0,,4.0,Free,
Maredumilli,Alluri Sitharama Raju,Srinivasa Gardens,15.935027,79.73028,Srinivasa Gardens Cultural Museum,Srinivasa Gardens Weavers Hamlet,The Srinivasa Gardens Boutique Hotel,4.1,"Near Srinivasa Gardens Main Junction, Maredumilli",Srinivasa Gardens Spice Dhaba,3.6,"Opposite Maredumilli City Central Park, Srinivasa Gardens, Maredumilli",Authentic Srinivasa Gardens Darshini,"Market Road, Srinivasa Gardens, Maredumilli",Srinivasa Gardens Spice Dhaba,"Highway Bypass / Srinivasa Gardens Center, Maredumilli",The Srinivasa Gardens Boutique Hotel / Similar Accommodations,Srinivasa Gardens Fire & Rescue,"Main Road, Srinivasa Gardens, Maredumilli",4.0,,4.0,,
Maredumilli,Alluri Sitharama Raju,Maredumilli Main Road,15.838515,79.670745,Maredumilli Main Road Historic Monument,Maredumilli Main Road Weavers Hamlet,Grand Maredumilli Main Road Inn,4.8,"Near Maredumilli Main Road Main Junction, Maredumilli",Maredumilli Main Road Family Restaurant,3.6,"Opposite Maredumilli Historic Fort Ruins, Maredumilli Main Road, Maredumilli",Sri Maredumilli Main Road Darshini,"Market Road, Maredumilli Main Road, Maredumilli",Maredumilli Main Road Family Restaurant,"Highway Bypass / Maredumilli Main Road Center, Maredumilli",Grand Maredumilli Main Road Inn / Similar Accommodations,Maredumilli Main Road Fire & Rescue,"Main Road, Maredumilli Main Road, Maredumilli",4.0,,4.0,,
Maredumilli,Alluri Sitharama Raju,Maredumilli South Colony,15.879497,79.655105,Maredumilli South Colony Promenade,Maredumilli South Colony Hidden Creek,Grand Maredumilli South Colony Boutique Hotel,4.8,"Near Maredumilli South Colony Main Junction, Maredumilli",Maredumilli South Colony Multi-Cuisine,3.6,"Opposite Maredumilli Historic Fort Ruins, Maredumilli South Colony, Maredumilli",Sri Maredumilli South Colony Breakfast Corner,"Market Road, Maredumilli South Colony, Maredumilli",Maredumilli South Colony Multi-Cuisine,"Highway Bypass / Maredumilli South Colony Center, Maredumilli",Grand Maredumilli South Colony Boutique Hotel / Similar Accommodations,Maredumilli South Colony Local Police Station,"Main Road, Maredumilli South Colony, Maredumilli",4.0,,4.0,,
Maredumilli,Alluri Sitharama Raju,Gandhi Phase 1,15.882081,79.653057,Gandhi Phase 1 Lake Viewpoint,Gandhi Phase 1 Sunset Hill,Grand Gandhi Phase 1 Inn,4.1,"Near Gandhi Phase 1 Main Junction, Maredumilli",Gandhi Phase 1 Multi-Cuisine,3.9,"Opposite Maredumilli Heritage Museum, Gandhi Phase 1, Maredumilli",Namma Gandhi Phase 1 Breakfast Corner,"Market Road, Gandhi Phase 1, Maredumilli",Gandhi Phase 1 Multi-Cuisine,"Highway Bypass / Gandhi Phase 1 Center, Maredumilli",Grand Gandhi Phase 1 Inn / Similar Accommodations,Gandhi Phase 1 Government Hospital,"Main Road, Gandhi Phase 1, Maredumilli",4.0,,4.0,,
Maredumilli,Alluri Sitharama Raju,Gandhi Nagar,15.864154,79.644646,Gandhi Nagar Central Park,Gandhi Nagar Old Fort Ruins,The Gandhi Nagar Residency,4.9,"Near Gandhi Nagar Main Junction, Maredumilli",Gandhi Nagar Family Restaurant,4.2,"Opposite Maredumilli City Central Park, Gandhi Nagar, Maredumilli",Sri Gandhi Nagar Cafe,"Market Road, Gandhi Nagar, Maredumilli",Gandhi Nagar Family Restaurant,"Highway Bypass / Gandhi Nagar Center, Maredumilli",The Gandhi Nagar Residency / Similar Accommodations,Gandhi Nagar Primary Health Centre,"Main Road, Gandhi Nagar, Maredumilli",4.0,,4.0,,
Maredumilli,Alluri Sitharama Raju,Maredumilli West Junction,15.903533,79.837037,Maredumilli West Junction Heritage Temple,Maredumilli West Junction Hidden Creek,The Maredumilli West Junction Suites,4.3,"Near Maredumilli West Junction Main Junction, Maredumilli",Maredumilli West Junction Flavours,4.1,"Opposite Maredumilli Local Shiva Temple, Maredumilli West Junction, Maredumilli",Namma Maredumilli West Junction Breakfast Corner,"Market Road, Maredumilli West Junction, Maredumilli",Maredumilli West Junction Flavours,"Highway Bypass / Maredumilli West Junction Center, Maredumilli",The Maredumilli West Junction Suites / Similar Accommodations,Maredumilli West Junction Government Hospital,"Main Road, Maredumilli West Junction, Maredumilli",4.0,,4.0,Free,
Maredumilli,Alluri Sitharama Raju,Sri Veedhi,15.988347,79.662956,Sri Veedhi Cultural Museum,Sri Veedhi Hidden Creek,The Sri Veedhi Boutique Hotel,4.5,"Near Sri Veedhi Main Junction, Maredumilli",Sri Veedhi Spice Dhaba,4.2,"Opposite Maredumilli Lake Promenade, Sri Veedhi, Maredumilli",Sri Sri Veedhi Darshini,"Market Road, Sri Veedhi, Maredumilli",Sri Veedhi Spice Dhaba,"Highway Bypass / Sri Veedhi Center, Maredumilli",The Sri Veedhi Boutique Hotel / Similar Accommodations,Sri Veedhi Primary Health Centre,"Main Road, Sri Veedhi, Maredumilli",4.0,,4.0,,
Maredumilli,Alluri Sitharama Raju,Maredumilli West Extension,15.930377,79.820895,Maredumilli West Extension Cultural Museum,Maredumilli West Extension Ancient Stepwell,Grand Maredumilli West Extension Inn,4.4,"Near Maredumilli West Extension Main Junction, Maredumilli",Maredumilli West Extension Biryani House,4.2,"Opposite Maredumilli Lake Promenade, Maredumilli West Extension, Maredumilli",Authentic Maredumilli West Extension Cafe,"Market Road, Maredumilli West Extension, Maredumilli",Maredumilli West Extension Biryani House,"Highway Bypass / Maredumilli West Extension Center, Maredumilli",Grand Maredumilli West Extension Inn / Similar Accommodations,Maredumilli West Extension Fire & Rescue,"Main Road, Maredumilli West Extension, Maredumilli",4.0,,4.0,,
Maredumilli,Alluri Sitharama Raju,Maredumilli RTC Bus Stand Area,15.961674,79.742463,Maredumilli Heritage Temple,Maredumilli Hidden Creek,Hotel Maredumilli Inn,4.5,"Near Maredumilli RTC Bus Stand Area Main Junction, Maredumilli",Maredumilli Spice Dhaba,4.4,"Opposite Maredumilli Local Shiva Temple, Maredumilli RTC Bus Stand Area, Maredumilli",New Maredumilli Cafe,"Market Road, Maredumilli RTC Bus Stand Area, Maredumilli",Maredumilli Spice Dhaba,"Highway Bypass / Maredumilli RTC Bus Stand Area Center, Maredumilli",Hotel Maredumilli Inn / Similar Accommodations,Maredumilli Government Hospital,"Main Road, Maredumilli RTC Bus Stand Area, Maredumilli",4.0,,4.0,Free,
Maredumilli,Alluri Sitharama Raju,Maredumilli East Nagar,15.892857,79.695644,Maredumilli East Nagar Heritage Temple,Maredumilli East Nagar Old Fort Ruins,Grand Maredumilli East Nagar Lodge,4.4,"Near Maredumilli East Nagar Main Junction, Maredumilli",Maredumilli East Nagar Biryani House,4.0,"Opposite Maredumilli Lake Promenade, Maredumilli East Nagar, Maredumilli",Namma Maredumilli East Nagar Tiffin Centre,"Market Road, Maredumilli East Nagar, Maredumilli",Maredumilli East Nagar Biryani House,"Highway Bypass / Maredumilli East Nagar Center, Maredumilli",Grand Maredumilli East Nagar Lodge / Similar Accommodations,Maredumilli East Nagar Local Police Station,"Main Road, Maredumilli East Nagar, Maredumilli",4.0,,4.0,Free,
Markapur,Prakasam,Markapur Main Road,15.91118,79.830217,Markapur Main Road Historic Monument,Markapur Main Road Ancient Stepwell,The Markapur Main Road Lodge,4.0,"Near Markapur Main Road Main Junction, Markapur",Markapur Main Road Multi-Cuisine,4.7,"Opposite Markapur Historic Fort Ruins, Markapur Main Road, Markapur",New Markapur Main Road Cafe,"Market Road, Markapur Main Road, Markapur",Markapur Main Road Multi-Cuisine,"Highway Bypass / Markapur Main Road Center, Markapur",The Markapur Main Road Lodge / Similar Accommodations,Markapur Main Road Fire & Rescue,"Main Road, Markapur Main Road, Markapur",4.0,,4.0,,
Markapur,Prakasam,Markapur RTC Bus Stand Area,15.847521,79.66476,Markapur Heritage Temple,Markapur Old Fort Ruins,Grand Markapur Residency,3.8,"Near Markapur RTC Bus Stand Area Main Junction, Markapur",Markapur Biryani House,4.0,"Opposite Markapur Botanical Garden, Markapur RTC Bus Stand Area, Markapur",New Markapur Breakfast Corner,"Market Road, Markapur RTC Bus Stand Area, Markapur",Markapur Biryani House,"Highway Bypass / Markapur RTC Bus Stand Area Center, Markapur",Grand Markapur Residency / Similar Accommodations,Markapur Government Hospital,"Main Road, Markapur RTC Bus Stand Area, Markapur",4.0,,4.0,Free,
Markapur,Prakasam,Markapur Main Bazar,15.946881,79.726841,Markapur Promenade,Markapur Ancient Stepwell,Hotel Markapur Boutique Hotel,4.8,"Near Markapur Main Bazar Main Junction, Markapur",Markapur Spice Dhaba,4.1,"Opposite Markapur City Central Park, Markapur Main Bazar, Markapur",New Markapur Cafe,"Market Road, Markapur Main Bazar, Markapur",Markapur Spice Dhaba,"Highway Bypass / Markapur Main Bazar Center, Markapur",Hotel Markapur Boutique Hotel / Similar Accommodations,Markapur Fire & Rescue,"Main Road, Markapur Main Bazar, Markapur",4.0,,4.0,,
Markapuram,Markapuram,Markapuram Police Station Road,15.922764,79.713744,Markapuram Lake Viewpoint,Markapuram Weavers Hamlet,Grand Markapuram Residency,4.1,"Near Markapuram Police Station Road Main Junction, Markapuram",Markapuram Family Restaurant,4.1,"Opposite Markapuram Local Shiva Temple, Markapuram Police Station Road, Markapuram",Sri Markapuram Breakfast Corner,"Market Road, Markapuram Police Station Road, Markapuram",Markapuram Family Restaurant,"Highway Bypass / Markapuram Police Station Road Center, Markapuram",Grand Markapuram Residency / Similar Accommodations,Markapuram Primary Health Centre,"Main Road, Markapuram Police Station Road, Markapuram",4.0,,4.0,,
Markapuram,Markapuram,Markapuram Main Bazar,15.857338,79.799126,Markapuram Heritage Temple,Markapuram Old Fort Ruins,Hotel Markapuram Suites,4.8,"Near Markapuram Main Bazar Main Junction, Markapuram",Markapuram Multi-Cuisine,4.7,"Opposite Markapuram Botanical Garden, Markapuram Main Bazar, Markapuram",New Markapuram Cafe,"Market Road, Markapuram Main Bazar, Markapuram",Markapuram Multi-Cuisine,"Highway Bypass / Markapuram Main Bazar Center, Markapuram",Hotel Markapuram Suites / Similar Accommodations,Markapuram Government Hospital,"Main Road, Markapuram Main Bazar, Markapuram",4.0,,4.0,Free,
Markapuram,Markapuram,Markapuram RTC Bus Stand Area,15.996057,79.823497,Markapuram Cultural Museum,Markapuram Hidden Creek,The Markapuram Lodge,4.8,"Near Markapuram RTC Bus Stand Area Main Junction, Markapuram",Markapuram Flavours,3.8,"Opposite Markapuram Local Shiva Temple, Markapuram RTC Bus Stand Area, Markapuram",Authentic Markapuram Breakfast Corner,"Market Road, Markapuram RTC Bus Stand Area, Markapuram",Markapuram Flavours,"Highway Bypass / Markapuram RTC Bus Stand Area Center, Markapuram",The Markapuram Lodge / Similar Accommodations,Markapuram Government Hospital,"Main Road, Markapuram RTC Bus Stand Area, Markapuram",4.0,,4.0,,
Marripudi,Markapuram,Marripudi Main Bazar,15.813789,79.643886,Marripudi Historic Monument,Marripudi Hidden Creek,Hotel Marripudi Suites,4.8,"Near Marripudi Main Bazar Main Junction, Marripudi",Marripudi Biryani House,4.5,"Opposite Marripudi Historic Fort Ruins, Marripudi Main Bazar, Marripudi",Authentic Marripudi Breakfast Corner,"Market Road, Marripudi Main Bazar, Marripudi",Marripudi Biryani House,"Highway Bypass / Marripudi Main Bazar Center, Marripudi",Hotel Marripudi Suites / Similar Accommodations,Marripudi Primary Health Centre,"Main Road, Marripudi Main Bazar, Marripudi",4.0,,4.0,,
Marripudi,Markapuram,Marripudi Main Road,15.949513,79.644345,Marripudi Main Road Central Park,Marripudi Main Road Old Fort Ruins,Hotel Marripudi Main Road Boutique Hotel,4.6,"Near Marripudi Main Road Main Junction, Marripudi",Marripudi Main Road Biryani House,4.1,"Opposite Marripudi Heritage Museum, Marripudi Main Road, Marripudi",Sri Marripudi Main Road Breakfast Corner,"Market Road, Marripudi Main Road, Marripudi",Marripudi Main Road Biryani House,"Highway Bypass / Marripudi Main Road Center, Marripudi",Hotel Marripudi Main Road Boutique Hotel / Similar Accommodations,Marripudi Main Road Fire & Rescue,"Main Road, Marripudi Main Road, Marripudi",4.0,,4.0,,
Marripudi,Markapuram,Marripudi RTC Bus Stand Area,15.885477,79.82713,Marripudi Heritage Temple,Marripudi Ancient Stepwell,Hotel Marripudi Suites,4.7,"Near Marripudi RTC Bus Stand Area Main Junction, Marripudi",Marripudi Biryani House,4.2,"Opposite Marripudi Local Shiva Temple, Marripudi RTC Bus Stand Area, Marripudi",Namma Marripudi Cafe,"Market Road, Marripudi RTC Bus Stand Area, Marripudi",Marripudi Biryani House,"Highway Bypass / Marripudi RTC Bus Stand Area Center, Marripudi",Hotel Marripudi Suites / Similar Accommodations,Marripudi Local Police Station,"Main Road, Marripudi RTC Bus Stand Area, Marripudi",4.0,,4.0,Free,
Marripudi,Markapuram,Marripudi Police Station Road,15.894501,79.796603,Marripudi Lake Viewpoint,Marripudi Sunset Hill,Grand Marripudi Suites,4.1,"Near Marripudi Police Station Road Main Junction, Marripudi",Marripudi Flavours,4.3,"Opposite Marripudi City Central Park, Marripudi Police Station Road, Marripudi",Namma Marripudi Breakfast Corner,"Market Road, Marripudi Police Station Road, Marripudi",Marripudi Flavours,"Highway Bypass / Marripudi Police Station Road Center, Marripudi",Grand Marripudi Suites / Similar Accommodations,Marripudi Fire & Rescue,"Main Road, Marripudi Police Station Road, Marripudi",4.0,,4.0,,
Martur,Bapatla,Martur Main Bazar,15.889823,79.792629,Martur Central Park,Martur Hidden Creek,The Martur Residency,4.5,"Near Martur Main Bazar Main Junction, Martur",Martur Biryani House,4.0,"Opposite Martur City Central Park, Martur Main Bazar, Martur",Authentic Martur Darshini,"Market Road, Martur Main Bazar, Martur",Martur Biryani House,"Highway Bypass / Martur Main Bazar Center, Martur",The Martur Residency / Similar Accommodations,Martur Primary Health Centre,"Main Road, Martur Main Bazar, Martur",4.0,,4.0,,
Martur,Bapatla,Martur RTC Bus Stand Area,16.011381,79.796449,Martur Cultural Museum,Martur Old Fort Ruins,Hotel Martur Inn,4.9,"Near Martur RTC Bus Stand Area Main Junction, Martur",Martur Flavours,4.5,"Opposite Martur Lake Promenade, Martur RTC Bus Stand Area, Martur",Namma Martur Cafe,"Market Road, Martur RTC Bus Stand Area, Martur",Martur Flavours,"Highway Bypass / Martur RTC Bus Stand Area Center, Martur",Hotel Martur Inn / Similar Accommodations,Martur Government Hospital,"Main Road, Martur RTC Bus Stand Area, Martur",4.0,,4.0,,
Martur,Bapatla,Martur Main Bazar,15.889823,79.792629,Martur Municipal Park,A popular urban recreation park for families and children in Martur.,Nearby Hotel,4.6,Park Rd,Park Cafe,4.4,Park Entrance,Snacks,Nearby,Budget,Main Road,Park Gate,Martur PS,Park Area,4.6,A popular urban recreation park for families and children in Martur.,4.6,₹20,Nearby Hotel
Martur,Bapatla,Martur Main Bazar,15.889823,79.792629,Sri Ramalingeswara Swamy Temple (Martur),A historic and highly revered local temple dedicated to Lord Shiva in Martur.,Local Lodge,4.8,Temple St,Local Tiffins,4.6,Temple Jct,Traditional,Nearby,Budget,Main Road,Market Street,Martur PS,Local Market,4.8,A historic and highly revered local temple dedicated to Lord Shiva in Martur.,4.8,Free,Local Lodge
Mentada,Parvathipuram Manyam,Mentada Main Bazar,15.912941,79.813916,Mentada Municipal Park,A popular urban recreation park for families and children in Mentada.,Nearby Hotel,4.6,Park Rd,Park Cafe,4.4,Park Entrance,Snacks,Nearby,Budget,Main Road,Park Gate,Mentada PS,Park Area,4.6,A popular urban recreation park for families and children in Mentada.,4.6,₹20,Nearby Hotel
Mentada,Parvathipuram Manyam,Mentada Police Station Road,15.966878,79.798469,Mentada Cultural Museum,Mentada Old Fort Ruins,The Mentada Boutique Hotel,4.2,"Near Mentada Police Station Road Main Junction, Mentada",Mentada Multi-Cuisine,3.7,"Opposite Mentada Local Shiva Temple, Mentada Police Station Road, Mentada",New Mentada Tiffin Centre,"Market Road, Mentada Police Station Road, Mentada",Mentada Multi-Cuisine,"Highway Bypass / Mentada Police Station Road Center, Mentada",The Mentada Boutique Hotel / Similar Accommodations,Mentada Government Hospital,"Main Road, Mentada Police Station Road, Mentada",4.0,,4.0,,
Mentada,Parvathipuram Manyam,Mentada Main Road,15.915782,79.696909,Mentada Main Road Historic Monument,Mentada Main Road Hidden Creek,Hotel Mentada Main Road Suites,4.4,"Near Mentada Main Road Main Junction, Mentada",Mentada Main Road Multi-Cuisine,4.4,"Opposite Mentada Historic Fort Ruins, Mentada Main Road, Mentada",Sri Mentada Main Road Cafe,"Market Road, Mentada Main Road, Mentada",Mentada Main Road Multi-Cuisine,"Highway Bypass / Mentada Main Road Center, Mentada",Hotel Mentada Main Road Suites / Similar Accommodations,Mentada Main Road Local Police Station,"Main Road, Mentada Main Road, Mentada",4.0,,4.0,,
Mentada,Parvathipuram Manyam,Mentada Main Bazar,15.912941,79.813916,Mentada Historic Monument,Mentada Weavers Hamlet,Hotel Mentada Inn,4.4,"Near Mentada Main Bazar Main Junction, Mentada",Mentada Multi-Cuisine,4.3,"Opposite Mentada Heritage Museum, Mentada Main Bazar, Mentada",Namma Mentada Cafe,"Market Road, Mentada Main Bazar, Mentada",Mentada Multi-Cuisine,"Highway Bypass / Mentada Main Bazar Center, Mentada",Hotel Mentada Inn / Similar Accommodations,Mentada Primary Health Centre,"Main Road, Mentada Main Bazar, Mentada",4.0,,4.0,,
Mentada,Parvathipuram Manyam,Mentada Main Bazar,15.912941,79.813916,Sri Ramalingeswara Swamy Temple (Mentada),A historic and highly revered local temple dedicated to Lord Shiva in Mentada.,Local Lodge,4.8,Temple St,Local Tiffins,4.6,Temple Jct,Traditional,Nearby,Budget,Main Road,Market Street,Mentada PS,Local Market,4.8,A historic and highly revered local temple dedicated to Lord Shiva in Mentada.,4.8,Free,Local Lodge
Mentada,Parvathipuram Manyam,Mentada Railway Station Area,15.897476,79.655591,Mentada Railway Station Area Central Park,Mentada Railway Station Area Weavers Hamlet,The Mentada Railway Station Area Lodge,4.8,"Near Mentada Railway Station Area Main Junction, Mentada",Mentada Railway Station Area Spice Dhaba,3.5,"Opposite Mentada City Central Park, Mentada Railway Station Area, Mentada",Sri Mentada Railway Station Area Tiffin Centre,"Market Road, Mentada Railway Station Area, Mentada",Mentada Railway Station Area Spice Dhaba,"Highway Bypass / Mentada Railway Station Area Center, Mentada",The Mentada Railway Station Area Lodge / Similar Accommodations,Mentada Railway Station Area Fire & Rescue,"Main Road, Mentada Railway Station Area, Mentada",4.0,,4.0,,
Merakamudidam,Parvathipuram Manyam,Merakamudidam Main Bazar,15.829353,79.76473,Merakamudidam Cultural Museum,Merakamudidam Hidden Creek,Grand Merakamudidam Lodge,4.5,"Near Merakamudidam Main Bazar Main Junction, Merakamudidam",Merakamudidam Family Restaurant,4.3,"Opposite Merakamudidam City Central Park, Merakamudidam Main Bazar, Merakamudidam",Authentic Merakamudidam Darshini,"Market Road, Merakamudidam Main Bazar, Merakamudidam",Merakamudidam Family Restaurant,"Highway Bypass / Merakamudidam Main Bazar Center, Merakamudidam",Grand Merakamudidam Lodge / Similar Accommodations,Merakamudidam Fire & Rescue,"Main Road, Merakamudidam Main Bazar, Merakamudidam",4.0,,4.0,,
Mogalthur,West Godavari,Mogalthur Main Bazar,15.975182,79.775903,Mogalthur Heritage Temple,Mogalthur Weavers Hamlet,Grand Mogalthur Boutique Hotel,4.7,"Near Mogalthur Main Bazar Main Junction, Mogalthur",Mogalthur Spice Dhaba,3.6,"Opposite Mogalthur Local Shiva Temple, Mogalthur Main Bazar, Mogalthur",Sri Mogalthur Darshini,"Market Road, Mogalthur Main Bazar, Mogalthur",Mogalthur Spice Dhaba,"Highway Bypass / Mogalthur Main Bazar Center, Mogalthur",Grand Mogalthur Boutique Hotel / Similar Accommodations,Mogalthur Primary Health Centre,"Main Road, Mogalthur Main Bazar, Mogalthur",4.0,,4.0,Free,
Mogalthur,West Godavari,Mogalthur Main Road,15.992333,79.679752,Mogalthur Main Road Historic Monument,Mogalthur Main Road Ancient Stepwell,Hotel Mogalthur Main Road Suites,4.1,"Near Mogalthur Main Road Main Junction, Mogalthur",Mogalthur Main Road Biryani House,4.1,"Opposite Mogalthur City Central Park, Mogalthur Main Road, Mogalthur",Namma Mogalthur Main Road Tiffin Centre,"Market Road, Mogalthur Main Road, Mogalthur",Mogalthur Main Road Biryani House,"Highway Bypass / Mogalthur Main Road Center, Mogalthur",Hotel Mogalthur Main Road Suites / Similar Accommodations,Mogalthur Main Road Primary Health Centre,"Main Road, Mogalthur Main Road, Mogalthur",4.0,,4.0,,
Mogalthur,West Godavari,Mogalthur RTC Bus Stand Area,15.836127,79.795466,Mogalthur Promenade,Mogalthur Hidden Creek,The Mogalthur Suites,4.1,"Near Mogalthur RTC Bus Stand Area Main Junction, Mogalthur",Mogalthur Biryani House,3.6,"Opposite Mogalthur Historic Fort Ruins, Mogalthur RTC Bus Stand Area, Mogalthur",New Mogalthur Cafe,"Market Road, Mogalthur RTC Bus Stand Area, Mogalthur",Mogalthur Biryani House,"Highway Bypass / Mogalthur RTC Bus Stand Area Center, Mogalthur",The Mogalthur Suites / Similar Accommodations,Mogalthur Local Police Station,"Main Road, Mogalthur RTC Bus Stand Area, Mogalthur",4.0,,4.0,,
Mopidevi,Krishna,Main Road,16.09,80.93,Subrahmanya Swamy Temple,Serpent Idol,Temple Guest House,4.1,Mopidevi,Annadana Satram,4.3,Temple,Local Snacks,Mopidevi,Temple Meals,Mopidevi,Guesthouse Stay,Temple Security,Mopidevi,4.9,Famous self-manifested Swayambhu Subrahmanyeswara temple.,4.9,Free,Guesthouse
Mopidevi,Krishna,Mopidevi Railway Station Area,15.946957,79.773031,Mopidevi Railway Station Area Cultural Museum,Mopidevi Railway Station Area Old Fort Ruins,The Mopidevi Railway Station Area Residency,4.4,"Near Mopidevi Railway Station Area Main Junction, Mopidevi",Mopidevi Railway Station Area Biryani House,4.2,"Opposite Mopidevi City Central Park, Mopidevi Railway Station Area, Mopidevi",New Mopidevi Railway Station Area Tiffin Centre,"Market Road, Mopidevi Railway Station Area, Mopidevi",Mopidevi Railway Station Area Biryani House,"Highway Bypass / Mopidevi Railway Station Area Center, Mopidevi",The Mopidevi Railway Station Area Residency / Similar Accommodations,Mopidevi Railway Station Area Fire & Rescue,"Main Road, Mopidevi Railway Station Area, Mopidevi",4.0,,4.0,,
Mopidevi,Krishna,Mopidevi Main Bazar,15.976096,79.722511,Mopidevi Municipal Park,A popular urban recreation park for families and children in Mopidevi.,Nearby Hotel,4.6,Park Rd,Park Cafe,4.4,Park Entrance,Snacks,Nearby,Budget,Main Road,Park Gate,Mopidevi PS,Park Area,4.6,A popular urban recreation park for families and children in Mopidevi.,4.6,₹20,Nearby Hotel
Mopidevi,Krishna,Mopidevi Main Bazar,15.976096,79.722511,Sri Ramalingeswara Swamy Temple (Mopidevi),A historic and highly revered local temple dedicated to Lord Shiva in Mopidevi.,Local Lodge,4.8,Temple St,Local Tiffins,4.6,Temple Jct,Traditional,Nearby,Budget,Main Road,Market Street,Mopidevi PS,Local Market,4.8,A historic and highly revered local temple dedicated to Lord Shiva in Mopidevi.,4.8,Free,Local Lodge
Mopidevi,Krishna,Mopidevi Main Bazar,15.976096,79.722511,Mopidevi Central Park,Mopidevi Sunset Hill,Hotel Mopidevi Inn,4.3,"Near Mopidevi Main Bazar Main Junction, Mopidevi",Mopidevi Multi-Cuisine,4.0,"Opposite Mopidevi Botanical Garden, Mopidevi Main Bazar, Mopidevi",Authentic Mopidevi Darshini,"Market Road, Mopidevi Main Bazar, Mopidevi",Mopidevi Multi-Cuisine,"Highway Bypass / Mopidevi Main Bazar Center, Mopidevi",Hotel Mopidevi Inn / Similar Accommodations,Mopidevi Government Hospital,"Main Road, Mopidevi Main Bazar, Mopidevi",4.0,,4.0,,
Mopidevi,Krishna,Mopidevi Main Road,15.981587,79.661297,Mopidevi Main Road Central Park,Mopidevi Main Road Old Fort Ruins,Grand Mopidevi Main Road Residency,4.1,"Near Mopidevi Main Road Main Junction, Mopidevi",Mopidevi Main Road Family Restaurant,3.6,"Opposite Mopidevi Lake Promenade, Mopidevi Main Road, Mopidevi",New Mopidevi Main Road Tiffin Centre,"Market Road, Mopidevi Main Road, Mopidevi",Mopidevi Main Road Family Restaurant,"Highway Bypass / Mopidevi Main Road Center, Mopidevi",Grand Mopidevi Main Road Residency / Similar Accommodations,Mopidevi Main Road Government Hospital,"Main Road, Mopidevi Main Road, Mopidevi",4.0,,4.0,,
Movva,Krishna,Movva RTC Bus Stand Area,15.953726,79.697143,Movva Heritage Temple,Movva Weavers Hamlet,Hotel Movva Inn,4.8,"Near Movva RTC Bus Stand Area Main Junction, Movva",Movva Family Restaurant,3.6,"Opposite Movva Local Shiva Temple, Movva RTC Bus Stand Area, Movva",Namma Movva Tiffin Centre,"Market Road, Movva RTC Bus Stand Area, Movva",Movva Family Restaurant,"Highway Bypass / Movva RTC Bus Stand Area Center, Movva",Hotel Movva Inn / Similar Accommodations,Movva Primary Health Centre,"Main Road, Movva RTC Bus Stand Area, Movva",4.0,,4.0,Free,
